#Note: new numbering still has to be added!. Also search for NUMBER. 
#&=retelling of the same story

pi-tv-bu-vb-intro,~an8.11,pi-tv-bu-vb-pj1#3-#39
mn35#5,~sn22.15,~kv23.5#19,~kv2.8#216,~kv1.1#367
an1.11-20#17.1,pe3#27
pe1#28-#30,pe9#55-#57
ne3#4,pe5#21
ne3#5,pe5#26
ne3#6,pe5#30
ne3#8,pe5#41
ne37#106,vv47#10
vv6,vv7,vv8,~ne37#115
sn21.9#3,ne37#171
sn21.8#2,ne37#173
sn7.1#7-#8,ne37#175-#176
sn2.19#2-#3,sn1.3#2-#3,~ne37#184-#185,~an3.51#3
sn2.15#4,ne37#188
sn10.2#2-#4,ne37#193-#195
sn2.6,ne37#202-#309
sn2.20#2-#5,ne37#211-#214
ud1.7#3,ne37#239
sn21.12#3-#4,ne37#251-#252
sn22.58,ne37#260-#263
sn22.58#5,~mn108,cnd19#740-#741,mnd8#78-#79,mnd14#60-#61,mil5.4.10#1,ps3.1#24-#25,mil5.5.4#1,mnd16#26-#27,ne37#263
sn12.38,ne37#274-#276
sn35.228,ne37#278-#282
sn35.230,ne37#284-#287
ud3.10#4-#5,pe2#22-#23,ne37#289-#291,~pe8#241
ud3.10#7,ne37#293-#294,pe2#24
ne37#325,ne37#7
ne37#308,ne37#332
sn3.8#4,ud5.1#6,ne37#337
ud5.2#4,ne37#339
ud2.2#6,pe2#172,ne37#345
thag3.3,thag3.15,~ne37#347
ud5.4#4-#5,ne37#35-#36,~pe2#56,pe2#65-#66
sn51.1,ne37#355
sn22.49#2-#3,ne37#377-#378
snp2.1#233-#234,kv2.2#76,kv1.4#590
snp2.1#229,vv44#21
snp2.1#231,ne37#383
snp2.1#232,ne37#381
snp2.1,kp6
snp1.8,kp9
snp3.6#522,ne37#388
sn11.5,ne37#405-#418
sn3.4,ne37#422-#427
sn3.4#4-#5,ne37#425-#426,ne37#447-#448
sn6.8#2,ne37#51
ne37#530,ne37#1
an10.89#15,ne37#437,snp3.10#8(NEWNUMBER#8),sn6.10#6
sn6.10,sn6.9,snp3.10#1(NEWNUMBER#1)-#666,an10.89#1-#10~an4.3#3-#5,~ne37#53-#58
snp3.10#669-#671,ne37#60-#62
sn55.22,ne37#67-#68
sn55.6,ne37#75-#87
thag1.96#96,ne37#89
ud5.3#13,ne4#29
thag6.13#447,pi-tv-kd19#25,pi-tv-pvr10#79,ne37#266,ud5.5#28,pe2#16
sn1.66#1,ne6#109
sn1.66#2,ne6#111,thag6.13#448,mnd15#43
sn22.84#3,ne6#116
sn47.46#3,sn47.3#2,ne8#134
an2.32-41#36.2,dn2#49,mil7.3.2#3,mn6#2,sn47.46#2,vb12#1
an4.49#1,ne19#387,pe6#11,ps1.8#1
an4.49#3-#7,ps1.8#3-#7
sn3.22#4,ne21#419,pe1#77
an3.90#6-#7,ne5#84,thag6.4#397
sn12.55#2-#4,ne37#334-#335
sn48.23,ne37#392
ne37#432,pe3#68
sn1.13#2-#3,ne37#492-#494,~pe2#160
tha-ap1#83,ne37#107
sn4.23#2,ne9#182
ud3.5#3,pe1#126
ud7.3#4,pe1#81,pe2#133
pi-tv-kd1#230,pi-tv-kd1#224,pe1#90,tha-ap3#148
pi-tv-kd1#226,pi-tv-kd1#232,tha-ap3#151
tha-ap378,tha-ap462
snp2.13#368,pe2#146
pe3#43,pe2#186
snp3.3#453,sn8.5#3,pe3#46
sn1.29,sn2.28,~pe5#15
ps1.4,pe6#39-#43,~sn48.8
sn55.21,~pe8#67
pi-tv-bi-vb-pc21#1,pi-tv-kd8#106
pi-tv-bi-vb-pc57,pi-tv-kd20#124-#134
pi-tv-bi-vb-pc58,pi-tv-kd20#65-#74
pi-tv-bi-vb-pc85#1,pi-tv-kd20#135
pi-tv-bu-vb-pc45#8,pi-tv-bu-vb-ay1#10,pi-tv-bu-vb-ay2#12,pi-tv-bu-vb-pc44#7,pi-tv-bu-vb-pc30#8
pi-tv-bu-vb-pc45#9,pi-tv-bu-vb-ay1#13,pi-tv-bu-vb-ay2#13,pi-tv-bu-vb-pc44#9,pi-tv-bu-vb-pc30#9
pi-tv-kd8#90,pi-tv-bu-vb-np1#6
pi-tv-bu-vb-pd4#8-#12,pi-tv-bu-vb-np29#7-#10
pi-tv-bu-vb-pc82#1-#8,pi-tv-bu-vb-np30#1-#8
pi-tv-bu-vb-pc11#4,pi-tv-pvr7#68
thag1.68#68,ud4.7#4,pi-tv-bu-vb-pc22#2
pi-tv-bu-vb-pc32#1-#2,pi-tv-kd17#67
pi-tv-bu-vb-ss10#1-#6,pi-tv-kd17#68-#73
pi-tv-bu-vb-pc46#5,pi-tv-kd6#63
pi-tv-bu-vb-pc65#1-#3,pi-tv-kd1#437-#439
pi-tv-bu-vb-pc72#1,pi-tv-kd16#120
pi-tv-bu-vb-pc1#9-#13,pi-tv-bu-vb-pj4#52-#56,~mnd7#49
pi-tv-bu-vb-pc8,~pi-tv-bu-vb-pj4
pi-tv-bu-vb-pj4#25,pi-tv-bu-vb-pc8#8
pi-tv-bu-vb-pj4#42-#51,pi-tv-bu-vb-pc8#9-#18
sn19.1,pi-tv-bu-vb-pj4#209-#212
sn19.2,pi-tv-bu-vb-pj4#213
sn1.35#2,pi-tv-bu-vb-pj4#14
pi-tv-bu-vb-pj1#87,vb12#8
pi-tv-bu-vb-pj2#178,pi-tv-kd16#158
pi-tv-bu-vb-ss8#1-#17,pi-tv-kd14#23-#36
sn4.5,pi-tv-kd1#131-#134
sn4.15#2-#3,pi-tv-kd1#135-#136
thi-ap35#1,thi-ap36#1,tha-ap536#17,thi-ap27#24,thi-ap19#43
thig3.6#2,thi-ap35#26
thig3.6,&thi-ap35
thig2.1,&thi-ap36
thig2.1#1,thi-ap36#15,thig5.4#1,~thi-ap18#66
thig5.4#2-#3,thi-ap25#48-#49
thig5.4,&thi-ap25
pi-tv-kd1#211,thi-ap35#19
pi-tv-kd1#218,pi-tv-kd16#68-#69
pi-tv-kd1#255-#269,pi-tv-kd18#56-#70
pi-tv-kd1#263-#266,pi-tv-kd18#5-#8
pi-tv-kd1#271-#284,pi-tv-kd18#72-#83
pi-tv-kd1#320-#334,pi-tv-kd18#86-#100
pi-tv-kd1#336-#350,pi-tv-kd18#102-#113
pi-tv-kd1#377-#379,pi-tv-pvr17#6-#7,~pi-tv-kd1#387-#399
ud4.5,pi-tv-kd10#53-#57
pi-tv-kd11#104,pi-tv-kd11#155,pi-tv-kd11#200,pi-tv-kd11#237,pi-tv-kd11#284,pi-tv-kd11#326,pi-tv-kd11#47,pi-tv-pvr17#24
pi-tv-pvr7#28,~pi-tv-kd11#135,~pi-tv-kd11#226,~pi-tv-kd11#273,~pi-tv-kd11#314,~pi-tv-kd11#36,~pi-tv-kd11#93,~pi-tv-pvr7#28
pi-tv-kd14#102-#224,pi-tv-pvr11,~pi-tv-pvr5#5-#155,~pi-tv-pvr4#14-#26,~pi-tv-kd14#152-159
pi-tv-kd17#10,ud2.10#9
ud5.8,pi-tv-kd17#74-#76
ud2.10#9,pi-tv-kd17#10
pi-tv-kd17#148-#156,pi-tv-pvr17#213-#211
pi-tv-kd19#70-#75,pi-tv-pvr17#101-#107
pi-tv-kd19#82,pi-tv-pvr17#96-#97
ud5.6#1,pi-tv-kd5#50-#56
pi-tv-kd7#1,sn15.13#1
pi-tv-pvr14#1,pi-tv-pvr17#28
pi-tv-pvr17#2,pi-tv-pvr7#66
pp2.2#1-#6,~vb17#72-#77
pp2.3#12,ps1.5#68
ps1.1#104,sn35.52#1
ps1.1#192,vb4#15
snp1.7#116,ps1.2#117
sn22.26,ps2.2#23-#24
sn46.19,ps2.3
sn46.4,ps2.3#39-#41
sn55.55,ps3.1#12
sn55.56-sn55.58,ps3.1#13
sn55.59-sn55.74,ps3.1#14
sn45.149#1,ps3.4#1
sn45.150,ps3.4#3
pv37,vv84
pv39,vv52#3-#25
sn10.3,snp2.5
sn10.5#7,thag1.44#44
~sn11.4#10-#12,sn7.2#4-#7,thag6.12#441-#444
sn12.16#2-#3,sn35.155#2
sn35.113,sn12.45
sn13.1,sn56.51
sn13.10,sn56.60
sn13.11,sn56.49
sn13.2,sn56.52
sn13.3,sn56.53
sn13.4,sn56.54
sn13.5,sn56.55
sn13.6,sn56.56
sn13.7,sn56.57
sn13.8,sn56.58
sn13.9,sn56.59
sn17.23,sn17.24,sn17.6
sn22.3#1,sn35.130#1
an4.9#2-#3,cnd22#41-#42,iti105#3-#4,iti15#3-#4,snp3.12#746-#747,mnd16#42-#43,~cnd23#160,cnd23#9-#10
snp3.12#752,pe1#112
sn35.136#2-#9,snp3.12#765-#772
sn35.95#1-#35,thag16.5
ud1.6#4,cnd23#291
sn46.14#1,ud1.6#1
sn7.12#2-#3,thag10.1#531-#532
thag21.1#1241-#1243,sn8.6#3-#5,~mil2#68
sn8.10#3,cnd17#634,cnd22#50,thag21.1#1259
sn8.2#2-#6,thag21.1#1224-#1228
snp2.12#346-#361,thag21.1#1273-#1288
thag21.1#1235,~thi-ap36#16
snp2.10#337,thag6.5#404
tha-ap20,tha-ap563
tha-ap24,tha-ap562
tha-ap24#1,tha-ap562#1,~tha-ap474#1
tha-ap24#44,tha-ap562#45,tha-ap474#12
tha-ap344,tha-ap375
tha-ap360,tha-ap524
tha-ap390#2,~tha-ap407#46
tha-ap401,tha-ap553
tha-ap469,tha-ap512
tha-ap485,tha-ap560
thag17.2#1000,ud3.4#3
thig16.1#71-#73,thi-ap1#3-#5
thag6.6#405-#406,thig5.1#1-#2
thig6.6#5,thi-ap17#76
thig11.1#4,~thi-ap19#18
thig11.1#6-#12,thi-ap19#71-#77
vv30,vv48
thig16.1,&thi-ap1
thig2.7,&thi-ap6
thig3.2,&thi-ap11
thig3.1,&thi-ap12
thig3.3,&thi-ap13
thig3.5,&thi-ap14
thig3.7,&thi-ap15
thig3.4,&thi-ap16
thig6.6,&thi-ap17
thig6.3,&thi-ap18
thig2.6,&thi-ap2
thig5.10,&thi-ap20
thig5.9,&thi-ap21
thig10.1,&thi-ap22
thig1.12,&thi-ap23
thig5.7,&thi-ap24
thig5.8,&thi-ap26
thig4.1,&thi-ap27
thig1.1,&thi-ap3
thig2.4,&thi-ap37
thig12.1,&thi-ap38
thig13.1,&thi-ap39
thig1.2,&thi-ap4
thig2.5,&thi-ap5
thig2.8,&thi-ap7
thig2.9,&thi-ap8
thig11.1,&thi-ap19
